tract,Neighborhood,City,State,Teenage Birth Rate,Race
24510250301,Westport, Baltimore, MD,0.5832,Black
24510150900,Windsor Hills, Baltimore, MD,0.4903,Black
24005402303,Windsor Mill, Baltimore, MD,0.4322,Black
24005401507,Windsor Mill, Baltimore, MD,0.4114,Black
24005402306,Windsor Mill, Baltimore, MD,0.3858,Black
24005401506,Windsor Mill, Baltimore, MD,0.3395,Black
24510271002,Winston - Govans, Baltimore, MD,0.5205,Black
24510130400,Woodbrook, Baltimore, MD,0.4934,Black
24510270501,Woodring, Baltimore, MD,0.4052,Black
24510250102,Yale Heights, Baltimore, MD,0.5036,Black
